t,cmd_az_ned,alt_agl,vz_enu,az_meas_enu
0.000,-1,12.986,0.011,
0.041,-1,12.986,0.011,
0.082,-1,12.986,0.011,
0.123,-1,12.986,0.011,
0.163,-1,12.986,0.011,
0.204,-1,12.986,0.011,
0.245,-1,12.986,0.011,
0.286,-1,12.993,0.009,
0.328,-1,12.998,0.006,
0.369,-1,13.002,0.006,
0.410,-1,13.005,0.002,
0.452,-1,13.009,-0.004,
0.494,-1,13.012,-0.011,
0.537,-1,13.014,-0.016,
0.579,-1,13.018,0.014,
0.621,-1,13.021,0.027,
0.662,-1,13.024,-0.005,
0.704,-1,13.025,-0.006,
0.746,-1,13.026,-0.024,
0.789,-1,13.029,0.065,
0.831,-1,13.036,0.112,
0.872,-1,13.044,0.108,
0.914,-1,13.051,0.094,
0.955,-1,13.056,0.052,
0.997,-1,13.060,0.030,
1.040,-1,13.062,-0.033,
1.082,-1,13.062,-0.049,
1.123,-1,13.061,-0.058,
1.165,-1,13.060,-0.056,
1.206,-1,13.056,-0.088,
1.248,-1,13.055,-0.099,
1.291,-1,13.053,-0.094,
1.333,-1,13.052,-0.092,
1.374,-1,13.049,-0.097,
1.415,-1,13.046,-0.075,
1.457,-1,13.043,-0.072,
1.499,-1,13.040,-0.087,
1.543,-1,13.038,-0.080,
1.584,-1,13.035,-0.072,
1.626,-1,13.032,-0.081,
1.667,-1,13.029,-0.095,
1.709,-1,13.026,-0.098,
1.750,-1,13.023,-0.084,
1.794,-1,13.021,-0.075,
1.836,-1,13.019,-0.067,
1.877,-1,13.019,-0.060,
1.919,-1,13.018,-0.070,
1.961,-1,13.017,-0.073,
