wall_time,t,loop_dt,mode,armed,px_ref,py_ref,pz_ref,vx_ref,vy_ref,vz_ref,px,py,pz,vx,vy,vz,roll,pitch,yaw,ex,ey,ez,pos_err_norm,ux,uy,uz,u_norm,batt_v
1782847256.5820,0.0000,0.0174,?,0,3.5762786865234375e-07,0.0,10.0,0.5,0.0,0.0,-0.014409135095775127,0.010501710698008537,9.678117752075195,0.017509691417217255,-0.011796358972787857,0.8163421750068665,0,0,0,-0.01440949272364378,0.010501710698008537,-0.3218822479248047,0.32237571393835307,0.8501072213486092,0.009930182387181049,-1.092063875548372,1.38397413436416,0.0
1782847256.5869,0.0201,0.0050,?,0,0.010041594505310059,0.0,10.0,0.5,0.0,0.0,-0.014409135095775127,0.010501710698008537,9.678117752075195,0.017509691417217255,-0.011796358972787857,0.8163421750068665,0,0,0,-0.024450729601085186,0.010501710698008537,-0.3218822479248047,0.3229803486819833,0.8601484582260506,0.009930182387181049,-1.092063875548372,1.3901645539246872,0.0
1782847256.6056,0.0401,0.0187,?,0,0.020053982734680176,0.0,10.0,0.5,0.0,0.0,-0.014409135095775127,0.010501710698008537,9.678117752075195,0.017509691417217255,-0.011796358972787857,0.8163421750068665,0,0,0,-0.0344631178304553,0.010501710698008537,-0.3218822479248047,0.3238922258210375,0.8701608464554207,0.009930182387181049,-1.092063875548372,1.3963817585116138,0.0
1782847256.6257,0.0609,0.0201,?,0,0.0304642915725708,0.0,10.0,0.5,0.0,0.0,-0.014409135095775127,0.010501710698008537,9.678117752075195,0.017509691417217255,-0.011796358972787857,0.8163421750068665,0,0,0,-0.04487342666834593,0.010501710698008537,-0.3218822479248047,0.3251647149948308,0.8805711552933113,0.009930182387181049,-1.092063875548372,1.4028926104070012,0.0
1782847256.6448,0.0801,0.0191,?,0,0.04002988338470459,0.0,10.0,0.5,0.0,0.0,-0.014409135095775127,0.010501710698008537,9.678117752075195,0.017509691417217255,-0.011796358972787857,0.8163421750068665,0,0,0,-0.05443901848047972,0.010501710698008537,-0.3218822479248047,0.3266222193755779,0.890136747105445,0.009930182387181049,-1.092063875548372,1.408916443706807,0.0
1782847256.6648,0.1001,0.0199,?,0,0.05003345012664795,0.0,10.0,0.5,0.0,0.0,-0.014409135095775127,0.010501710698008537,9.678117752075195,0.017509691417217255,-0.011796358972787857,0.8163421750068665,0,0,0,-0.06444258522242308,0.010501710698008537,-0.3218822479248047,0.32843768700753473,0.9001403138473884,0.009930182387181049,-1.092063875548372,1.4152578215340297,0.0
1782847256.6849,0.1201,0.0201,?,0,0.06003403663635254,0.0,10.0,0.5,0.0,0.0,-0.014409135095775127,0.010501710698008537,9.678117752075195,0.017509691417217255,-0.011796358972787857,0.8163421750068665,0,0,0,-0.07444317173212767,0.010501710698008537,-0.3218822479248047,0.3305453876160567,0.9101409003570929,0.009930182387181049,-1.092063875548372,1.421639397070436,0.0
1782847256.7052,0.1401,0.0203,?,0,0.07003641128540039,0.0,10.0,0.5,0.0,0.0,-0.012015477754175663,0.00980894174426794,9.804553985595703,0.018019920215010643,-0.01123184897005558,0.6413417458534241,0,0,0,-0.08205188903957605,0.00980894174426794,-0.19544601440429688,0.21219772001515463,0.9168658754632784,0.009645191334808494,-0.9153904744287598,1.2956372115603345,0.0
1782847256.7252,0.1601,0.0200,?,0,0.08004474639892578,0.0,10.0,0.5,0.0,0.0,-0.011676162481307983,0.009659071452915668,9.817147254943848,0.01900952309370041,-0.011185253039002419,0.6203854084014893,0,0,0,-0.09172090888023376,0.009659071452915668,-0.18285274505615234,0.20479538364357464,0.9248208528387291,0.009714355106150714,-0.8916863025695947,1.2847149258612656,0.0
1782847256.7455,0.1801,0.0203,?,0,0.09004878997802734,0.0,10.0,0.5,0.0,0.0,-0.011333505623042583,0.009573091752827168,9.829303741455078,0.02058885432779789,-0.01108227577060461,0.5995025038719177,0,0,0,-0.10138229560106993,0.009573091752827168,-0.17069625854492188,0.19876424886856686,0.9317467576201279,0.009621972945349555,-0.867672537425997,1.2732243458645656,0.0
1782847256.7654,0.2001,0.0199,?,0,0.10004961490631104,0.0,10.0,0.5,0.0,0.0,-0.010941952466964722,0.009473742917180061,9.840953826904297,0.02291761338710785,-0.010984713211655617,0.5788346529006958,0,0,0,-0.11099156737327576,0.009473742917180061,-0.15904617309570312,0.1941766335304678,0.9373225003830226,0.00955233847198057,-0.8435248549097978,1.2610308869116411,0.0
