frame,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
74,1.8941,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,1.9196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76,1.9450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77,1.9701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78,1.9949,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79,2.0230,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80,2.0479,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81,2.0767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82,2.1053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83,2.1304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84,2.1558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85,2.1803,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86,2.2056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
87,2.2300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
88,2.2583,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
89,2.2835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
90,2.3088,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
91,2.3334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
92,2.3581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
93,2.3835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
94,2.4087,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
95,2.4339,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
96,2.4590,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
97,2.4875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
98,2.5163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
99,2.5457,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100,2.5724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
101,2.5977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
102,2.6230,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
103,2.6475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
104,2.6767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
105,2.7020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
106,2.7312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
107,2.7611,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
108,2.7900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
109,2.8146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
110,2.8402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
111,2.8656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
112,2.8947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
113,2.9199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
114,2.9453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
115,2.9699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
116,2.9959,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
117,3.0216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
118,3.0472,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
