frame,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
0,0.0657,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.1332,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.2080,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.2729,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.3362,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.4076,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.4798,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.5509,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.6224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.6968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.7686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,0.8454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,0.9221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,1.0005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,1.0710,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,1.1458,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,1.2234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,1.3031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,1.3745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,1.4525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,1.5294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,1.6097,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,1.6873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,1.7658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,1.8388,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,1.9207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,2.0014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,2.0824,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,2.1545,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,2.2355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,2.3141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,2.3880,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,2.4661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,2.5447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,2.6241,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,2.7029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36,2.7804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
37,2.8579,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,2.9345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,3.0139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,3.1102,17,-0.882538,-1.480053,0.011640,0.941056,-1.641890,4.615237,4.988166,1414.75,320.25
41,3.1858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42,3.2673,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
43,3.3456,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44,3.4202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45,3.5020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46,3.5760,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
47,3.6597,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
48,3.7382,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49,3.8182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,3.8925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,3.9719,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
52,4.0505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
53,4.1345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54,4.2146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,4.2892,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
56,4.3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
57,4.4499,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,4.5288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59,4.6033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,4.6811,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61,4.7639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62,4.8453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63,4.9288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
64,5.0107,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
65,5.0899,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
66,5.1733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
67,5.2541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
68,5.3372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69,5.4195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70,5.5014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,5.5738,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72,5.6527,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
73,5.7327,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
74,5.8156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,5.8911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76,5.9741,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77,6.0556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78,6.1357,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79,6.2195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80,6.3035,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81,6.3794,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82,6.4613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83,6.5446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84,6.6191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85,6.6996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86,6.7833,107,-0.881021,-0.985008,1.325793,5.610722,1.133802,7.182245,9.184244,2049.00,968.25
87,6.8599,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
88,6.9405,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
89,7.0260,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
90,7.1084,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
91,7.1819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
92,7.2663,37,1.294912,-1.209417,1.167654,-1.552351,0.610674,7.281953,7.470579,856.75,901.75
93,7.3410,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
94,7.4217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
95,7.5047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
96,7.5817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
