wall_time,cur_time,cur_loop_dt,cur_ctrl_freq,loop_count,fc_time_boot_ms,hb_age_s,sent_mode,echoed_mode,armed,drone_px_ref,drone_py_ref,drone_pz_ref,drone_vx_ref,drone_vy_ref,drone_vz_ref,payload_px_ref,payload_py_ref,payload_pz_ref,payload_vx_ref,payload_vy_ref,payload_vz_ref,payload_alpha_x,payload_alpha_y,payload_alphadot_x,payload_alphadot_y,ux,uy,uz,yaw_ref,yaw_rate_ref,drone_px_meas,drone_py_meas,drone_pz_meas,drone_vx_meas,drone_vy_meas,drone_vz_meas,drone_ax_meas,drone_ay_meas,drone_az_meas,drone_gyrox_meas,drone_gyroy_meas,drone_gyroz_meas,drone_roll,drone_pitch,drone_yaw,drone_yaw_rate,sent_setpoint_bitmask,echoed_setpoint_bitmask,setpoint_bitmask_callback_dt,batt_voltage,batt_current,batt_rem_percent,GPS_fix_type,sat_count,HDOP,ekf_flags,ekf_pos_horiz_var,ekf_pos_vert_var,ekf_vel_var,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8
1787009841.0036,0.0000,nan,nan,1,1368754,0.034,LOITER,GUIDED,128,nan,nan,nan,nan,nan,nan,0.07102994920382333,-1.3240178278321189,-7.71822714805603,0.0,0.0,0.0,-0.6544017151995369,0.5476531799159836,0.012590692778723371,-0.010536850343539478,-12.294991094332063,10.331871452196175,0.006872284676987659,0.38711780309677124,0,6.614997386932373,-6.80050802230835,2.2817728519439697,-0.033297810703516006,0.010280190967023373,-0.004859439097344875,4,-8,-1000,0,0,0,0.006025856826454401,0.02375250682234764,0.3871057331562042,-0.0005384762189351022,63,3079,nan,23.76,2.84,98,4,18,1.25,831,0.006983581464737654,0.0026172157377004623,0.046077605336904526,1500,1500,1504,1498,1102,1500,1897,1424,1156,1150,1167,1172,0,0,0,0
1787009841.0045,0.0247,0.00091,1093.07,2,1368774,0.034,LOITER,GUIDED,128,nan,nan,nan,nan,nan,nan,0.07102994920382333,-1.3240178278321189,-7.71822714805603,0.0,0.0,0.0,-0.6540902817403231,0.5473925486854884,0.05888183113516675,-0.04938189140331127,-12.513580374719867,10.512460939247251,0.00786725157374857,0.38711780309677124,0,6.615387439727783,-6.798891544342041,2.2812273502349854,-0.03302425146102905,0.010423722676932812,-0.005177258979529142,2,-8,-999,0,0,0,0.006036148406565189,0.023750776425004005,0.38710975646972656,-0.00011536580859683454,63,3079,0.0003688335418701172,23.76,2.84,98,4,18,1.25,831,0.006983581464737654,0.0026172157377004623,0.046077605336904526,1500,1500,1504,1498,1102,1500,1897,1424,1156,1150,1167,1172,0,0,0,0
1787009841.0215,0.0402,0.01704,58.67,3,1368794,0.051,LOITER,GUIDED,128,nan,nan,nan,nan,nan,nan,0.07102994920382333,-1.3240178278321189,-7.71822714805603,0.0,0.0,0.0,-0.6542637288220163,0.5480220409035417,0.07148584270687475,-0.0525065419045274,-12.575843356286692,10.530556454289155,0.008407205991389216,0.38711780309677124,0,6.615720272064209,-6.797382831573486,2.280709981918335,-0.03284963220357895,0.010761837475001812,-0.005193229764699936,2,-8,-999,0,0,0,0.006037979386746883,0.023745685815811157,0.38709762692451477,-0.0002483306743670255,63,3135,0.016304969787597656,23.76,2.84,98,4,18,1.25,831,0.006983581464737654,0.0026172157377004623,0.046077605336904526,1500,1500,1504,1498,1102,1500,1897,1424,1156,1150,1167,1172,0,0,0,0
1787009841.0403,0.0602,0.01879,53.22,4,1368814,0.070,LOITER,GUIDED,128,nan,nan,nan,nan,nan,nan,0.07102994920382333,-1.3240178278321189,-7.71822714805603,0.0,0.0,0.0,-0.653910576703808,0.5474160898922824,0.0943206933708927,-0.07806626389789306,-12.681208663269775,10.645931247653586,0.00876552150497943,0.38711780309677124,0,6.615538120269775,-6.7965545654296875,2.280486822128296,-0.03285037353634834,0.010796365328133106,-0.0052887992933392525,1,-8,-999,0,0,0,0.0060377237387001514,0.023729758337140083,0.3871048092842102,0.00016389197844546288,63,3135,0.018042564392089844,23.76,2.84,98,4,18,1.25,831,0.00680342735722661,0.00042668243986554444,0.04575048387050629,1500,1500,1504,1498,1102,1500,1897,1424,1156,1150,1167,1172,0,0,0,0
1787009841.0602,0.0801,0.01993,50.18,5,1368835,0.090,LOITER,GUIDED,128,nan,nan,nan,nan,nan,nan,0.07102994920382333,-1.3240178278321189,-7.71822714805603,0.0,0.0,0.0,-0.6532544046296124,0.5469715494114598,0.11645863034737333,-0.09552808096049815,-12.781493982047337,10.721751607842567,0.008786453577837793,0.38711780309677124,0,6.61557149887085,-6.794467449188232,2.2803428173065186,-0.032564111053943634,0.01132087130099535,-0.005201773717999458,1,-7,-999,0,0,0,0.0060536921955645084,0.023730844259262085,0.38708531856536865,-0.00048722821520641446,63,3135,0.0191037654876709,23.76,2.84,98,4,18,1.25,831,0.00680342735722661,0.00042668243986554444,0.04575048387050629,1500,1500,1504,1498,1102,1500,1897,1424,1156,1150,1167,1172,0,0,0,0
1787009841.0801,0.1001,0.01981,50.49,6,1368854,0.110,LOITER,GUIDED,128,nan,nan,nan,nan,nan,nan,0.07102994920382333,-1.3240178278321189,-7.71822714805603,0.0,0.0,0.0,-0.6525259016539935,0.5461824277750369,0.13593362892029293,-0.11445923366912886,-12.86691356926633,10.802031422932053,0.008667514680010681,0.38711780309677124,0,6.6151652336120605,-6.793011665344238,2.2803165912628174,-0.03273980692028999,0.011897084303200245,-0.005099126603454351,1,-7,-1000,0,0,0,0.006044227164238691,0.023719944059848785,0.3870740532875061,-0.00048197447904385626,63,3135,0.019175291061401367,23.76,2.84,98,4,18,1.25,831,0.00680342735722661,0.00042668243986554444,0.04575048387050629,1500,1500,1504,1498,1102,1500,1897,1424,1156,1150,1167,1172,0,0,0,0
1787009841.1001,0.1201,0.02002,49.95,7,1368874,0.130,LOITER,GUIDED,128,nan,nan,nan,nan,nan,nan,0.07102994920382333,-1.3240178278321189,-7.71822714805603,0.0,0.0,0.0,-0.6517841926721765,0.5457136267471303,0.15341662794490887,-0.1273936822344808,-12.9435304110072,10.854679771829758,0.00841157951803854,0.38711780309677124,0,6.614984512329102,-6.790467739105225,2.280351161956787,-0.032680612057447433,0.012817667797207832,-0.004942598287016153,2,-8,-999,0,0,0,0.006050752941519022,0.023716844618320465,0.3870639503002167,-0.0002674938295967877,63,3135,0.019368648529052734,23.76,2.84,98,4,18,1.25,831,0.00680342735722661,0.00042668243986554444,0.04575048387050629,1500,1500,1504,1498,1102,1500,1897,1424,1156,1150,1167,1172,0,0,0,0
1787009841.1200,0.1401,0.01993,50.17,8,1368894,0.150,LOITER,GUIDED,128,nan,nan,nan,nan,nan,nan,0.07102994920382333,-1.3240178278321189,-7.71822714805603,0.0,0.0,0.0,-0.6508795477405472,0.5449734785827637,0.17129866534028076,-0.14243699688031364,-13.02116157149768,10.915895226540687,0.00813657086588904,0.38711780309677124,0,6.61476993560791,-6.788090229034424,2.280367851257324,-0.03237873688340187,0.013424326665699482,-0.004759938921779394,2,-7,-1000,0,0,0,0.0060424841940402985,0.02371337078511715,0.38705042004585266,-0.0005094087100587785,63,3135,0.01929020881652832,23.76,2.84,98,4,18,1.25,831,0.00680342735722661,0.00042668243986554444,0.04575048387050629,1500,1500,1504,1498,1102,1500,1897,1424,1156,1150,1167,1172,0,0,0,0
1787009841.1400,0.1601,0.01995,50.12,9,1368914,0.170,LOITER,GUIDED,128,nan,nan,nan,nan,nan,nan,0.07102994920382333,-1.3240178278321189,-7.71822714805603,0.0,0.0,0.0,-0.6500326202325152,0.5440888533178658,0.18772820800331472,-0.15791460326374535,-13.090788926911744,10.979636598189485,0.008197965758750994,0.38711780309677124,0,6.6143364906311035,-6.786825180053711,2.280360698699951,-0.03264889866113663,0.013773933053016663,-0.004798294045031071,1,-8,-999,0,0,0,0.0060498774982988834,0.02370527945458889,0.387056827545166,0.0005469114403240383,63,3135,0.01934504508972168,23.76,2.84,98,4,18,1.25,831,0.00680342735722661,0.00042668243986554444,0.04575048387050629,1500,1500,1504,1498,1102,1500,1897,1424,1156,1150,1167,1172,0,0,0,0
1787009841.1601,0.1801,0.02010,49.74,10,1368934,0.001,LOITER,GUIDED,128,nan,nan,nan,nan,nan,nan,0.07102994920382333,-1.3240178278321189,-7.71822714805603,0.0,0.0,0.0,-0.6490396940177575,0.5432498265115284,0.204919479018769,-0.17228774396893717,-13.163829567109708,11.03700436228635,0.007957912671195654,0.38711780309677124,0,6.614084720611572,-6.784673690795898,2.280426502227783,-0.03254884108901024,0.014385763555765152,-0.0046750809997320175,2,-7,-1000,0,0,0,0.0060440474189817905,0.02369273640215397,0.38704007863998413,-0.00037259538657963276,63,3135,0.019474267959594727,23.76,2.84,98,4,18,1.25,831,0.00680342735722661,0.00042668243986554444,0.04575048387050629,1500,1500,1504,1498,1102,1500,1897,1424,1156,1150,1167,1172,0,0,0,0
