wall_time,t,loop_dt,mode,armed,px_ref,py_ref,pz_ref,vx_ref,vy_ref,vz_ref,px,py,pz,vx,vy,vz,roll,pitch,yaw,ex,ey,ez,pos_err_norm,ux,uy,uz,u_norm,batt_v
1782843010.8044,0.0176,0.0193,?,0,0.00878453254699707,0.0,10.0,0.5,0.0,0.0,-0.016102259978652,0.01100182719528675,9.54891586303711,0.01817549578845501,-0.01175902970135212,0.9630871415138245,0,0,0,-0.02488679252564907,0.01100182719528675,-0.4510841369628906,0.45190407307680414,0.38944149017333984,0.007646931409835816,-1.6618479824066161,1.7068866003508725,0.0
1782843010.8058,0.0201,0.0014,?,0,0.010037779808044434,0.0,10.0,0.5,0.0,0.0,-0.016102259978652,0.01100182719528675,9.54891586303711,0.01817549578845501,-0.01175902970135212,0.9630871415138245,0,0,0,-0.026140039786696434,0.01100182719528675,-0.4510841369628906,0.4519748228621157,0.38964200973510743,0.007646931409835816,-1.6618479824066161,1.7069323618524963,0.0
1782843010.8259,0.0401,0.0201,?,0,0.020032882690429688,0.0,10.0,0.5,0.0,0.0,-0.016102259978652,0.01100182719528675,9.54891586303711,0.01817549578845501,-0.01175902970135212,0.9630871415138245,0,0,0,-0.03613514266908169,0.01100182719528675,-0.4510841369628906,0.452662884889965,0.3912412261962891,0.007646931409835816,-1.6618479824066161,1.707298125479116,0.0
1782843010.8457,0.0601,0.0198,?,0,0.030069708824157715,0.0,10.0,0.5,0.0,0.0,-0.016102259978652,0.01100182719528675,9.54891586303711,0.01817549578845501,-0.01175902970135212,0.9630871415138245,0,0,0,-0.046171968802809715,0.01100182719528675,-0.4510841369628906,0.4535744586331096,0.39284711837768554,0.007646931409835816,-1.6618479824066161,1.7076668441492264,0.0
1782843010.8657,0.0801,0.0200,?,0,0.040039658546447754,0.0,10.0,0.5,0.0,0.0,-0.016102259978652,0.01100182719528675,9.54891586303711,0.01817549578845501,-0.01175902970135212,0.9630871415138245,0,0,0,-0.056141918525099754,0.01100182719528675,-0.4510841369628906,0.45469754104994864,0.394442310333252,0.007646931409835816,-1.6618479824066161,1.7080345220076676,0.0
1782843010.8856,0.1001,0.0200,?,0,0.05004096031188965,0.0,10.0,0.5,0.0,0.0,-0.016102259978652,0.01100182719528675,9.54891586303711,0.01817549578845501,-0.01175902970135212,0.9630871415138245,0,0,0,-0.06614322029054165,0.01100182719528675,-0.4510841369628906,0.4560404197125447,0.3960425186157227,0.007646931409835816,-1.6618479824066161,1.7084047730969416,0.0
1782843010.9056,0.1201,0.0200,?,0,0.060044050216674805,0.0,10.0,0.5,0.0,0.0,-0.016102259978652,0.01100182719528675,9.54891586303711,0.01817549578845501,-0.01175902970135212,0.9630871415138245,0,0,0,-0.0761463101953268,0.01100182719528675,-0.4510841369628906,0.45759829477124775,0.3976430130004883,0.007646931409835816,-1.6618479824066161,1.7087765090780695,0.0
1782843010.9256,0.1401,0.0200,?,0,0.07003927230834961,0.0,10.0,0.5,0.0,0.0,-0.016102259978652,0.01100182719528675,9.54891586303711,0.01817549578845501,-0.01175902970135212,0.9630871415138245,0,0,0,-0.08614153228700161,0.01100182719528675,-0.4510841369628906,0.4593672848668518,0.3992422485351563,0.007646931409835816,-1.6618479824066161,1.7091493688979718,0.0
1782843010.9456,0.1601,0.0200,?,0,0.08003520965576172,0.0,10.0,0.5,0.0,0.0,-0.016102259978652,0.01100182719528675,9.54891586303711,0.01817549578845501,-0.01175902970135212,0.9630871415138245,0,0,0,-0.09613746963441372,0.01100182719528675,-0.4510841369628906,0.46134623862008306,0.4008415985107422,0.007646931409835816,-1.6618479824066161,1.709523670291106,0.0
1782843010.9655,0.1801,0.0200,?,0,0.09003806114196777,0.0,10.0,0.5,0.0,0.0,-0.016102259978652,0.01100182719528675,9.54891586303711,0.01817549578845501,-0.01175902970135212,0.9630871415138245,0,0,0,-0.10614032112061977,0.01100182719528675,-0.4510841369628906,0.46353393251064057,0.40244205474853517,0.007646931409835816,-1.6618479824066161,1.7098996460667364,0.0
