wall_time,cur_time,cur_loop_dt,cur_ctrl_freq,loop_count,fc_time_boot_ms,hb_age_s,sent_mode,echoed_mode,armed,drone_px_ref,drone_py_ref,drone_pz_ref,drone_vx_ref,drone_vy_ref,drone_vz_ref,payload_px_ref,payload_py_ref,payload_pz_ref,payload_vx_ref,payload_vy_ref,payload_vz_ref,payload_alpha_x,payload_alpha_y,payload_alphadot_x,payload_alphadot_y,ux,uy,uz,yaw_ref,yaw_rate_ref,drone_px_meas,drone_py_meas,drone_pz_meas,drone_vx_meas,drone_vy_meas,drone_vz_meas,drone_ax_meas,drone_ay_meas,drone_az_meas,drone_roll,drone_pitch,drone_yaw,drone_yaw_rate,sent_setpoint_bitmask,echoed_setpoint_bitmask,setpoint_bitmask_callback_dt,batt_voltage,batt_current,batt_rem_percent,GPS_fix_type,sat_count,HDOP,ekf_flags,ekf_pos_horiz_var,ekf_pos_vert_var,ekf_vel_var,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1783451776.2623,0.0000,nan,nan,1,85376,nan,GUIDED,?,0,2.384185791015625e-07,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8614386618100086,0.008066915979563181,-0.0005271617479958779,0,0,-0.009503485634922981,0.012885691598057747,9.999195098876953,0.008135134354233742,-0.012096993625164032,0.0007690668571740389,nan,nan,nan,0.0015914125833660364,0.0016536694020032883,-0.12628373503684998,0.001314043067395687,3135,3576,nan,12.312,28.78,91,6,10,1.21,831,0.0025200690142810345,0.00021889303752686828,0.006695412565022707,1500,1500,1000,1500,1800,1000,1000,1800
1783451776.2825,0.0201,0.02013,49.68,2,85376,nan,GUIDED,?,0,0.010049819946289062,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8714882433377186,0.008066915979563181,-0.0005271617479958779,0,0,-0.009503485634922981,0.012885691598057747,9.999195098876953,0.008135134354233742,-0.012096993625164032,0.0007690668571740389,nan,nan,nan,0.0015914125833660364,0.0016536694020032883,-0.12628373503684998,0.001314043067395687,3135,3135,0.019905805587768555,12.312,28.78,91,6,10,1.21,831,0.0025200690142810345,0.00021889303752686828,0.006695412565022707,1500,1500,1000,1500,1800,1000,1000,1800
1783451776.3025,0.0401,0.02001,49.98,3,85376,nan,GUIDED,?,0,0.020035862922668457,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.881474286314098,0.008066915979563181,-0.0005271617479958779,0,0,-0.009503485634922981,0.012885691598057747,9.999195098876953,0.008135134354233742,-0.012096993625164032,0.0007690668571740389,nan,nan,nan,0.0015914125833660364,0.0016536694020032883,-0.12628373503684998,0.001314043067395687,3135,3135,0.019765138626098633,12.312,28.78,91,6,10,1.21,831,0.0025200690142810345,0.00021889303752686828,0.006695412565022707,1500,1500,1000,1500,1800,1000,1000,1800
1783451776.3226,0.0601,0.02014,49.66,4,85376,nan,GUIDED,?,0,0.030038952827453613,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8914773762188831,0.008066915979563181,-0.0005271617479958779,0,0,-0.009503485634922981,0.012885691598057747,9.999195098876953,0.008135134354233742,-0.012096993625164032,0.0007690668571740389,nan,nan,nan,0.0015914125833660364,0.0016536694020032883,-0.12628373503684998,0.001314043067395687,3135,3135,0.019806861877441406,12.312,28.78,91,6,10,1.21,831,0.0025200690142810345,0.00021889303752686828,0.006695412565022707,1500,1500,1000,1500,1800,1000,1000,1800
1783451776.3428,0.0801,0.02020,49.51,5,85376,nan,GUIDED,?,0,0.04004311561584473,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9014815390072741,0.008066915979563181,-0.0005271617479958779,0,0,-0.009503485634922981,0.012885691598057747,9.999195098876953,0.008135134354233742,-0.012096993625164032,0.0007690668571740389,nan,nan,nan,0.0015914125833660364,0.0016536694020032883,-0.12628373503684998,0.001314043067395687,3135,3135,0.01973104476928711,12.312,28.78,91,6,10,1.21,831,0.0025200690142810345,0.00021889303752686828,0.006695412565022707,1500,1500,1000,1500,1800,1000,1000,1800
1783451776.3629,0.1001,0.02007,49.84,6,85376,nan,GUIDED,?,0,0.05002546310424805,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9114638864956774,0.008066915979563181,-0.0005271617479958779,0,0,-0.009503485634922981,0.012885691598057747,9.999195098876953,0.008135134354233742,-0.012096993625164032,0.0007690668571740389,nan,nan,nan,0.0015914125833660364,0.0016536694020032883,-0.12628373503684998,0.001314043067395687,3135,3135,0.019625425338745117,12.312,28.78,91,6,10,1.21,831,0.0025200690142810345,0.00021889303752686828,0.006695412565022707,1500,1500,1000,1500,1800,1000,1000,1800
1783451776.3828,0.1201,0.01989,50.27,7,85376,nan,GUIDED,?,0,0.060042738914489746,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9214811623059191,0.008066915979563181,-0.0005271617479958779,0,0,-0.009503485634922981,0.012885691598057747,9.999195098876953,0.008135134354233742,-0.012096993625164032,0.0007690668571740389,nan,nan,nan,0.0015914125833660364,0.0016536694020032883,-0.12628373503684998,0.001314043067395687,3135,3135,0.019459009170532227,12.312,28.78,91,6,10,1.21,831,0.0025200690142810345,0.00021889303752686828,0.006695412565022707,1500,1500,1000,1500,1800,1000,1000,1800
1783451776.4027,0.1401,0.01998,50.06,8,85376,nan,GUIDED,?,0,0.07005858421325684,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9314970076046862,0.008066915979563181,-0.0005271617479958779,0,0,-0.009503485634922981,0.012885691598057747,9.999195098876953,0.008135134354233742,-0.012096993625164032,0.0007690668571740389,nan,nan,nan,0.0015914125833660364,0.0016536694020032883,-0.12628373503684998,0.001314043067395687,3135,3135,0.019562721252441406,12.312,28.78,91,6,10,1.21,831,0.0025200690142810345,0.00021889303752686828,0.006695412565022707,1500,1500,1000,1500,1800,1000,1000,1800
1783451776.4229,0.1601,0.02012,49.69,9,85376,nan,GUIDED,?,0,0.08004701137542725,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9414854347668566,0.008066915979563181,-0.0005271617479958779,0,0,-0.009503485634922981,0.012885691598057747,9.999195098876953,0.008135134354233742,-0.012096993625164032,0.0007690668571740389,nan,nan,nan,0.0015914125833660364,0.0016536694020032883,-0.12628373503684998,0.001314043067395687,3135,3135,0.019622802734375,12.312,28.78,91,6,10,1.21,831,0.0025200690142810345,0.00021889303752686828,0.006695412565022707,1500,1500,1000,1500,1800,1000,1000,1800
1783451776.4429,0.1801,0.02003,49.93,10,85376,nan,GUIDED,?,0,0.09004426002502441,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9514826834164538,0.008066915979563181,-0.0005271617479958779,0,0,-0.009503485634922981,0.012885691598057747,9.999195098876953,0.008135134354233742,-0.012096993625164032,0.0007690668571740389,nan,nan,nan,0.0015914125833660364,0.0016536694020032883,-0.12628373503684998,0.001314043067395687,3135,3135,0.019522666931152344,12.312,28.78,91,6,10,1.21,831,0.0025200690142810345,0.00021889303752686828,0.006695412565022707,1500,1500,1000,1500,1800,1000,1000,1800
1783451776.4644,0.2001,0.02147,46.58,11,85376,nan,GUIDED,?,0,0.10005223751068115,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9614906609021105,0.008066915979563181,-0.0005271617479958779,0,0,-0.009503485634922981,0.012885691598057747,9.999195098876953,0.008135134354233742,-0.012096993625164032,0.0007690668571740389,nan,nan,nan,0.01864086464047432,0.0030240302439779043,-0.12625783681869507,0.0017684191698208451,3135,3135,0.019522666931152344,12.312,28.78,91,6,10,1.21,831,0.0025200690142810345,0.00021889303752686828,0.006695412565022707,1500,1500,1000,1500,1800,1000,1000,1800
