wall_time,cur_time,cur_loop_dt,cur_ctrl_freq,loop_count,fc_time_boot_ms,hb_age_s,sent_mode,echoed_mode,armed,drone_px_ref,drone_py_ref,drone_pz_ref,drone_vx_ref,drone_vy_ref,drone_vz_ref,payload_px_ref,payload_py_ref,payload_pz_ref,payload_vx_ref,payload_vy_ref,payload_vz_ref,payload_alpha_x,payload_alpha_y,payload_alphadot_x,payload_alphadot_y,ux,uy,uz,yaw_ref,yaw_rate_ref,drone_px_meas,drone_py_meas,drone_pz_meas,drone_vx_meas,drone_vy_meas,drone_vz_meas,drone_ax_meas,drone_ay_meas,drone_az_meas,drone_gyrox_meas,drone_gyroy_meas,drone_gyroz_meas,drone_roll,drone_pitch,drone_yaw,drone_yaw_rate,sent_setpoint_bitmask,echoed_setpoint_bitmask,setpoint_bitmask_callback_dt,batt_voltage,batt_current,batt_rem_percent,GPS_fix_type,sat_count,HDOP,ekf_flags,ekf_pos_horiz_var,ekf_pos_vert_var,ekf_vel_var,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1784593203.6196,0.0000,nan,nan,1,637069,0.010,GUIDED,GUIDED,128,4.941315650939941,0.019566630944609642,15.001501083374023,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.027021819322941888,0.01648371798025746,0.0010252096337291395,0,0,4.941356658935547,0.019483720883727074,15.001505851745605,0.015577378682792187,-0.00946901086717844,-0.0005946580786257982,0,0,-1000,2,2,0,0.002405970823019743,0.00014103033754508942,2.082266473735217e-05,-7.186675793491304e-05,63,3135,nan,nan,nan,nan,nan,nan,nan,831,0.005603226367384195,0.00037802138831466436,0.006533259060233831,nan,nan,nan,nan,nan,nan,nan,nan
1784593203.6398,0.0201,0.02016,49.61,2,637089,0.000,GUIDED,GUIDED,128,4.941315650939941,0.019566630944609642,15.001501083374023,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.026965959009879435,0.016120619794434937,0.0010916070142700707,0,0,4.941154956817627,0.01950467936694622,15.0015230178833,0.015661580488085747,-0.009271476417779922,-0.0006429034983739257,0,0,-1000,0,0,0,0.002372192684561014,0.0001283058081753552,1.97969056898728e-05,-5.220081948209554e-05,63,3135,0.020084619522094727,nan,nan,nan,nan,nan,nan,831,0.005603226367384195,0.00037802138831466436,0.006533259060233831,nan,nan,nan,nan,nan,nan,nan,nan
1784593203.6601,0.0401,0.02032,49.21,3,637109,0.000,GUIDED,GUIDED,128,4.941315650939941,0.019566630944609642,15.001501083374023,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.02699145210230695,0.01584520403896993,0.001116599984922171,0,0,4.941013336181641,0.019501984119415283,15.001546859741211,0.01575806364417076,-0.009110908955335617,-0.0006710982997901738,0,0,-1000,1,2,0,0.002400059252977371,0.0001753393589751795,1.7252137695322745e-05,-0.00012392239295877516,63,3135,0.020233154296875,nan,nan,nan,nan,nan,nan,831,0.005603226367384195,0.00037802138831466436,0.006533259060233831,1500,1500,1000,1500,1800,1000,1000,1800
1784593203.6798,0.0601,0.01965,50.90,4,637129,0.000,GUIDED,GUIDED,128,4.941315650939941,0.019566630944609642,15.001501083374023,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.027466869400599257,0.015755173060571552,0.0011430081912932352,0,0,4.941117763519287,0.019404727965593338,15.001550674438477,0.015972254797816277,-0.009002778679132462,-0.0006885475013405085,0,0,-1001,-3,-2,0,0.002314124722033739,0.00010309852950740606,1.5294019249267876e-05,-7.372949039563537e-05,63,3135,0.01958632469177246,nan,nan,nan,nan,nan,nan,831,0.005603226367384195,0.00037802138831466436,0.006533259060233831,1500,1500,1000,1500,1800,1000,1000,1800
1784593203.6998,0.0801,0.02003,49.93,5,637149,0.000,GUIDED,GUIDED,128,4.941315650939941,0.019566630944609642,15.001501083374023,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.027560168848741535,0.015518615534634126,0.0011176957768588706,0,0,4.941042423248291,0.019381152465939522,15.001568794250488,0.016069618985056877,-0.008852590806782246,-0.0006843948503956199,0,0,-1001,-10,-1,0,0.0020847765263170004,6.468671199399978e-05,1.4394042409549002e-05,-4.410737892612815e-05,63,3135,0.019954204559326172,nan,nan,nan,nan,nan,nan,831,0.005603226367384195,0.00037802138831466436,0.006533259060233831,1500,1500,1000,1500,1800,1000,1000,1800
1784593203.7198,0.1000,0.01999,50.02,6,637169,0.000,GUIDED,GUIDED,128,4.941315650939941,0.019566630944609642,15.001501083374023,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.027970919370896307,0.015424635283559826,0.0013094136551264738,0,0,4.941181182861328,0.019276566803455353,15.001569747924805,0.01622665300965309,-0.008737948723137379,-0.0007956338231451809,0,0,-1000,-15,-6,0,0.0017624379834160209,-7.538619684055448e-05,1.2281140698178206e-05,-6.840312562417239e-05,63,3135,0.019916534423828125,nan,nan,nan,nan,nan,nan,831,0.005603226367384195,0.00037802138831466436,0.006533259060233831,1500,1500,1000,1500,1800,1000,1000,1800
1784593203.7398,0.1201,0.02002,49.94,7,637189,0.000,GUIDED,GUIDED,128,4.941315650939941,0.019566630944609642,15.001501083374023,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.027953406723594126,0.015130817860781031,0.00128250919772346,0,0,4.941162586212158,0.019235892221331596,15.001582145690918,0.016227278858423233,-0.008544829674065113,-0.000787258381024003,0,0,-1001,-17,-6,0,0.0009986464865505695,-0.0003085463249590248,6.5875533437065315e-06,-0.00010412398842163384,63,3135,0.019925594329833984,nan,nan,nan,nan,nan,nan,831,0.005603226367384195,0.00037802138831466436,0.006533259060233831,1500,1500,1000,1500,1800,1000,1000,1800
1784593203.7598,0.1401,0.01997,50.09,8,637209,0.000,GUIDED,GUIDED,128,4.941315650939941,0.019566630944609642,15.001501083374023,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.027234994503712147,0.014501046793682833,0.001261023137716989,0,0,4.940849781036377,0.019350238144397736,15.001606941223145,0.01599310152232647,-0.008247248828411102,-0.0007891691057011485,0,0,-1001,-17,-6,0,0.0009986464865505695,-0.0003085463249590248,6.5875533437065315e-06,-0.00010412398842163384,63,3135,0.019872426986694336,nan,nan,nan,nan,nan,nan,831,0.005603226367384195,0.00037802138831466436,0.006533259060233831,1500,1500,1000,1500,1800,1000,1000,1800
1784593203.7798,0.1601,0.02000,50.01,9,637229,0.000,GUIDED,GUIDED,128,4.941315650939941,0.019566630944609642,15.001501083374023,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.02701858474217518,0.01413641549838647,0.001211643563207771,0,0,4.940871238708496,0.01931927166879177,15.00161075592041,0.01585576869547367,-0.008018850348889828,-0.0007628622115589678,0,0,-1001,-20,-4,0,0.0005684652714990079,-0.00040207584970630705,3.33633647642273e-06,-0.0001432521385140717,63,3135,0.019929885864257812,nan,nan,nan,nan,nan,nan,831,0.005603226367384195,0.00037802138831466436,0.006533259060233831,1500,1500,1000,1500,1800,1000,1000,1800
1784593203.7997,0.1800,0.01999,50.03,10,637249,0.000,GUIDED,GUIDED,128,4.941315650939941,0.019566630944609642,15.001501083374023,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.026156324340978133,0.013500004048227725,0.0011681555049971582,0,0,4.940629482269287,0.01940746046602726,15.001630783081055,0.015497520565986633,-0.007702333852648735,-0.0007493170560337603,0,0,-1001,-16,-6,0,0.00023234177206177264,-0.0005579388234764338,-5.526816266865353e-07,-0.00017440498049836606,63,3135,0.0199124813079834,nan,nan,nan,nan,nan,nan,831,0.005429385229945183,0.00036301204818300903,0.006491008214652538,1500,1500,1000,1500,1800,1000,1000,1800
