wall_time,cur_time,cur_loop_dt,cur_ctrl_freq,loop_count,fc_time_boot_ms,hb_age_s,sent_mode,echoed_mode,armed,drone_px_ref,drone_py_ref,drone_pz_ref,drone_vx_ref,drone_vy_ref,drone_vz_ref,payload_px_ref,payload_py_ref,payload_pz_ref,payload_vx_ref,payload_vy_ref,payload_vz_ref,payload_alpha_x,payload_alpha_y,payload_alphadot_x,payload_alphadot_y,ux,uy,uz,yaw_ref,yaw_rate_ref,drone_px_meas,drone_py_meas,drone_pz_meas,drone_vx_meas,drone_vy_meas,drone_vz_meas,drone_ax_meas,drone_ay_meas,drone_az_meas,drone_roll,drone_pitch,drone_yaw,drone_yaw_rate,sent_setpoint_bitmask,echoed_setpoint_bitmask,setpoint_bitmask_callback_dt,batt_voltage,batt_current,batt_rem_percent,GPS_fix_type,sat_count,HDOP,ekf_flags,ekf_pos_horiz_var,ekf_pos_vert_var,ekf_vel_var,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1783459972.1519,0.0000,nan,nan,1,1136513,nan,GUIDED,?,0,7.152557373046875e-07,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.014928196218704,5.403426820237342,9.737302878033207,0,0,-3.1203041076660156,-5.374980449676514,0.28062891960144043,-0.016511045396327972,-0.01642351970076561,-0.010352928191423416,nan,nan,nan,-0.03162306174635887,-0.0063777826726436615,-3.1361329555511475,-7.90517296991311e-05,3135,3079,nan,24.764,0.94,97,4,22,0.75,895,0.0038795259315520525,0.0010043926304206252,0.01911116950213909,1500,1500,1345,1498,1897,1500,1897,1102
1783459972.1718,0.0201,0.01988,50.30,2,1136531,nan,GUIDED,?,0,0.010068416595458984,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.024983959611312,5.403784959805868,9.737870771789716,0,0,-3.1204707622528076,-5.375226020812988,0.2803844213485718,-0.016407934948801994,-0.016488511115312576,-0.010539640672504902,nan,nan,nan,-0.031625788658857346,-0.00638008676469326,-3.136150360107422,-0.0009444752940908074,3135,3079,0.019380807876586914,24.764,0.94,97,4,22,0.75,895,0.0038795259315520525,0.0010043926304206252,0.01911116950213909,1500,1500,1345,1498,1897,1500,1897,1102
1783459972.1920,0.0401,0.02021,49.48,3,1136571,nan,GUIDED,?,0,0.02007317543029785,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0359319015587936,5.404103517098824,9.738680796018967,0,0,-3.1208014488220215,-5.375750541687012,0.2798234820365906,-0.01676155999302864,-0.016369597986340523,-0.010683449916541576,nan,nan,nan,-0.03162827342748642,-0.006389258429408073,-3.1361680030822754,-0.00023771324777044356,3135,3135,0.019687652587890625,24.764,0.94,97,4,22,0.75,895,0.0038795259315520525,0.0010043926304206252,0.01911116950213909,1500,1500,1345,1498,1897,1500,1897,1102
1783459972.2115,0.0601,0.01950,51.29,4,1136571,nan,GUIDED,?,0,0.03007042407989502,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.045929150208391,5.404103517098824,9.738680796018967,0,0,-3.1208014488220215,-5.375750541687012,0.2798234820365906,-0.01676155999302864,-0.016369597986340523,-0.010683449916541576,nan,nan,nan,-0.03162827342748642,-0.006389258429408073,-3.1361680030822754,-0.00023771324777044356,3135,3135,0.019687652587890625,24.764,0.94,97,4,22,0.75,895,0.0038795259315520525,0.0010043926304206252,0.01911116950213909,1500,1500,1345,1498,1897,1500,1897,1102
1783459972.2325,0.0804,0.02096,47.71,5,1136591,nan,GUIDED,?,0,0.04022359848022461,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.056149701755137,5.40398160378927,9.73917066750988,0,0,-3.1209423542022705,-5.37598991394043,0.27952373027801514,-0.016719108447432518,-0.016161009669303894,-0.010793215595185757,nan,nan,nan,-0.03161805868148804,-0.006396491080522537,-3.13615345954895,0.0005899387178942561,3135,3135,0.020175933837890625,24.764,0.94,97,4,22,0.75,895,0.0038795259315520525,0.0010043926304206252,0.01911116950213909,1500,1500,1345,1498,1897,1500,1897,1102
1783459972.2528,0.1005,0.02030,49.27,6,1136613,nan,GUIDED,?,0,0.050230979919433594,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.066783050273213,5.40379779679093,9.739811968018875,0,0,-3.121131420135498,-5.376250267028809,0.2792091369628906,-0.016971353441476822,-0.01590457372367382,-0.010981840081512928,nan,nan,nan,-0.03161858022212982,-0.0063912104815244675,-3.136162281036377,-0.00033973887911997736,3135,3135,0.019240140914916992,24.764,0.94,97,4,22,0.75,895,0.0038795259315520525,0.0010043926304206252,0.01911116950213909,1500,1500,1345,1498,1897,1500,1897,1102
1783459972.2725,0.1204,0.01972,50.72,7,1136631,nan,GUIDED,?,0,0.060221195220947266,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.077215951766279,5.404353000010766,9.740263453341749,0,0,-3.121345043182373,-5.376482963562012,0.2789808511734009,-0.01710360310971737,-0.016090773046016693,-0.011110704392194748,nan,nan,nan,-0.03162505105137825,-0.006393451243638992,-3.136162042617798,-0.00010906009993050247,3135,3135,0.018917560577392578,24.764,0.94,97,4,22,0.75,895,0.0038795259315520525,0.0010043926304206252,0.01911116950213909,1500,1500,1345,1498,1897,1500,1897,1102
1783459972.2921,0.1404,0.01962,50.97,8,1136671,nan,GUIDED,?,0,0.0701977014541626,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.088222505786109,5.405062216950855,9.741586712592447,0,0,-3.1217892169952393,-5.376969337463379,0.27819305658340454,-0.01744185760617256,-0.016219431534409523,-0.011419855058193207,nan,nan,nan,-0.03163154050707817,-0.0063834041357040405,-3.1361589431762695,0.00014098788960836828,3135,3135,0.01907968521118164,24.764,0.94,97,4,22,0.75,895,0.0038795259315520525,0.0010043926304206252,0.01911116950213909,1500,1500,1345,1498,1897,1500,1897,1102
1783459972.3120,0.1604,0.01984,50.39,9,1136671,nan,GUIDED,?,0,0.08018255233764648,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.098207356669593,5.405062216950855,9.741586712592447,0,0,-3.1217892169952393,-5.376969337463379,0.27819305658340454,-0.01744185760617256,-0.016219431534409523,-0.011419855058193207,nan,nan,nan,-0.03163154050707817,-0.0063834041357040405,-3.1361589431762695,0.00014098788960836828,3135,3135,0.01907968521118164,24.764,0.94,97,4,22,0.75,895,0.0038795259315520525,0.0010043926304206252,0.01911116950213909,1500,1500,1345,1498,1897,1500,1897,1102
1783459972.3326,0.1804,0.02061,48.51,10,1136711,nan,GUIDED,?,0,0.09021520614624023,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.108683035626312,5.404343849314146,9.743137961631362,0,0,-3.1219353675842285,-5.377176284790039,0.2773410677909851,-0.017613258212804794,-0.015685200691223145,-0.011823573149740696,nan,nan,nan,-0.03161722794175148,-0.006382856518030167,-3.1361494064331055,0.0001560463133500889,3135,3135,0.0197756290435791,24.764,0.94,97,4,22,0.75,895,0.0038795259315520525,0.0010043926304206252,0.01911116950213909,1500,1500,1345,1498,1897,1500,1897,1102
