wall_time,cur_time,cur_loop_dt,cur_ctrl_freq,loop_count,fc_time_boot_ms,hb_age_s,sent_mode,echoed_mode,armed,drone_px_ref,drone_py_ref,drone_pz_ref,drone_vx_ref,drone_vy_ref,drone_vz_ref,payload_px_ref,payload_py_ref,payload_pz_ref,payload_vx_ref,payload_vy_ref,payload_vz_ref,payload_alpha_x,payload_alpha_y,payload_alphadot_x,payload_alphadot_y,ux,uy,uz,yaw_ref,yaw_rate_ref,drone_px_meas,drone_py_meas,drone_pz_meas,drone_vx_meas,drone_vy_meas,drone_vz_meas,drone_ax_meas,drone_ay_meas,drone_az_meas,drone_roll,drone_pitch,drone_yaw,drone_yaw_rate,sent_setpoint_bitmask,echoed_setpoint_bitmask,setpoint_bitmask_callback_dt,batt_voltage,batt_current,batt_rem_percent,GPS_fix_type,sat_count,HDOP,ekf_flags,ekf_pos_horiz_var,ekf_pos_vert_var,ekf_vel_var,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1783459430.2070,0.0000,nan,nan,1,594598,nan,GUIDED,?,0,9.5367431640625e-07,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.207172189144834,6.5297038295319725,9.998592955567133,0,0,-3.3394880294799805,-6.532120704650879,-0.012699484825134277,-0.0009571325499564409,0.001395383500494063,0.008144408464431763,nan,nan,nan,-0.03115851804614067,-0.0046107955276966095,-3.1384408473968506,0.00010937769548036158,3135,3079,nan,24.901,0.96,99,4,23,0.66,895,0.006688324734568596,0.0018615277949720621,0.013810485601425171,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.2266,0.0202,0.01960,51.03,2,594618,nan,GUIDED,?,0,0.010076165199279785,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.2162557698639604,6.528867585513751,10.00017157248932,0,0,-3.3389744758605957,-6.531662464141846,-0.01344984769821167,-0.0006811145576648414,0.0016136239282786846,0.007666215766221285,nan,nan,nan,-0.03116443008184433,-0.004611177369952202,-3.1384406089782715,-0.00027633566060103476,3135,3135,0.018994808197021484,24.901,0.96,99,4,23,0.66,895,0.006688324734568596,0.0018615277949720621,0.013810485601425171,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.2465,0.0401,0.01985,50.39,3,594639,nan,GUIDED,?,0,0.020062685012817383,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.225521776942061,6.527837045670648,10.001473915783512,0,0,-3.3384974002838135,-6.531234264373779,-0.01410520076751709,-0.0005405660485848784,0.0019613851327449083,0.007292675785720348,nan,nan,nan,-0.03115888498723507,-0.004606563597917557,-3.1384243965148926,0.0006787359016016126,3135,3135,0.01934337615966797,24.901,0.96,99,4,23,0.66,895,0.006688324734568596,0.0018615277949720621,0.013810485601425171,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.2665,0.0601,0.01998,50.05,4,594658,nan,GUIDED,?,0,0.030070900917053223,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.235164266573028,6.527311244969222,10.002176277901954,0,0,-3.3382766246795654,-6.531010150909424,-0.014330685138702393,-0.00045687874080613256,0.0021355643402785063,0.007017350289970636,nan,nan,nan,-0.031154757365584373,-0.004602320492267609,-3.1384317874908447,-0.00036711012944579124,3135,3135,0.01950669288635254,24.901,0.96,99,4,23,0.66,895,0.006688324734568596,0.0018615277949720621,0.013810485601425171,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.2873,0.0805,0.02079,48.10,5,594679,nan,GUIDED,?,0,0.04022979736328125,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.2445794688643215,6.526675878136659,10.003650662014607,0,0,-3.337850332260132,-6.5306220054626465,-0.01488274335861206,-0.00027362676337361336,0.0022782976739108562,0.00648484518751502,nan,nan,nan,-0.031155532225966454,-0.004603497684001923,-3.138446092605591,-0.0007667663157917559,3135,3135,0.02002263069152832,24.901,0.96,99,4,23,0.66,895,0.006688324734568596,0.0018615277949720621,0.013810485601425171,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.3075,0.1004,0.02028,49.32,6,594698,nan,GUIDED,?,0,0.05019044876098633,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.254178741937491,6.526175929202397,10.004252625055818,0,0,-3.3376495838165283,-6.530413627624512,-0.015078067779541016,-0.00018088705837726593,0.002446636324748397,0.00625007227063179,nan,nan,nan,-0.031167984008789062,-0.004592560231685638,-3.13844633102417,-0.00016689971380401403,3135,3135,0.019254684448242188,24.901,0.96,99,4,23,0.66,895,0.006688324734568596,0.0018615277949720621,0.013810485601425171,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.3273,0.1204,0.01977,50.59,7,594718,nan,GUIDED,?,0,0.06019711494445801,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.263109408202069,6.523154847251203,10.007797168766924,0,0,-3.3369717597961426,-6.529202938079834,-0.01670306921005249,4.899990381090902e-05,0.0034918668679893017,0.005141824018210173,nan,nan,nan,-0.031168555840849876,-0.004588657990098,-3.1384267807006836,0.0006478093564510345,3135,3135,0.01901984214782715,24.901,0.96,99,4,23,0.66,895,0.006688324734568596,0.0018615277949720621,0.013810485601425171,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.3471,0.1404,0.01983,50.42,8,594739,nan,GUIDED,?,0,0.07021605968475342,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.271728413301132,6.520662258222054,10.01094203744444,0,0,-3.336343288421631,-6.52806282043457,-0.01822841167449951,0.0004944073152728379,0.004272716585546732,0.0042067901231348515,nan,nan,nan,-0.031156545504927635,-0.004581734538078308,-3.13843035697937,4.611922486219555e-05,3135,3135,0.019193649291992188,24.901,0.96,99,4,23,0.66,895,0.006688324734568596,0.0018615277949720621,0.013810485601425171,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.3672,0.1603,0.02011,49.72,9,594758,nan,GUIDED,?,0,0.08016562461853027,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.281299420284533,6.519819869010808,10.012473909679365,0,0,-3.3360397815704346,-6.52747106552124,-0.018920719623565674,0.0005377380875870585,0.004417420364916325,0.003722067456692457,nan,nan,nan,-0.031152723357081413,-0.004574928432703018,-3.138425588607788,-0.00015852546493988484,3135,3135,0.019262075424194336,24.901,0.96,99,4,23,0.66,895,0.006688324734568596,0.0018615277949720621,0.013810485601425171,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.3872,0.1804,0.01994,50.15,10,594779,nan,GUIDED,?,0,0.0902167558670044,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.290091661012241,6.517837200172003,10.015530779206227,0,0,-3.3354742527008057,-6.526422500610352,-0.020312488079071045,0.0009380506235174835,0.0049567255191504955,0.002760720904916525,nan,nan,nan,-0.031160620972514153,-0.0045775435864925385,-3.138409376144409,0.0005229644011706114,3135,3135,0.019227266311645508,24.901,0.96,99,4,23,0.66,895,0.006688324734568596,0.0018615277949720621,0.013810485601425171,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.4076,0.2004,0.02038,49.07,11,594798,nan,GUIDED,?,0,0.100211501121521,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.299700908126543,6.516590116694097,10.01658865958988,0,0,-3.335196018218994,-6.525866985321045,-0.020946145057678223,0.0009999793255701661,0.005356002599000931,0.0025157954078167677,nan,nan,nan,-0.031162606552243233,-0.00458473339676857,-3.1384036540985107,0.00031547670369036496,3135,3135,0.01937103271484375,24.901,0.96,99,4,23,0.66,895,0.007328889798372984,0.0024591833353042603,0.02349296770989895,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.4275,0.2205,0.01996,50.11,12,594818,nan,GUIDED,?,0,0.11023306846618652,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.308697688536606,6.514653020375782,10.01914840088838,0,0,-3.3346853256225586,-6.52489709854126,-0.022197604179382324,0.0012967918301001191,0.005914421286433935,0.0017604583408683538,nan,nan,nan,-0.031163303181529045,-0.004579566419124603,-3.1383869647979736,0.0007379365270026028,3135,3135,0.019086122512817383,24.901,0.96,99,4,23,0.66,895,0.007328889798372984,0.0024591833353042603,0.02349296770989895,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.4474,0.2403,0.01992,50.19,13,594839,nan,GUIDED,?,0,0.12016606330871582,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.3176846684088845,6.512434606253954,10.021641954943084,0,0,-3.334209680557251,-6.52397346496582,-0.023365378379821777,0.0015683600213378668,0.0066619631834328175,0.0009950189851224422,nan,nan,nan,-0.031166458502411842,-0.00457809679210186,-3.1383843421936035,0.0002633793919812888,3135,3135,0.01887202262878418,24.901,0.96,99,4,23,0.66,895,0.007328889798372984,0.0024591833353042603,0.02349296770989895,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.4673,0.2603,0.01989,50.27,14,594858,nan,GUIDED,?,0,0.13016486167907715,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.3275111223994065,6.511237481352471,10.022771464294967,0,0,-3.3339686393737793,-6.5234575271606445,-0.02391296625137329,0.0015286979032680392,0.007055246736854315,0.0006590464618057013,nan,nan,nan,-0.031160814687609673,-0.004579564556479454,-3.138381004333496,2.8828020731452852e-05,3135,3135,0.018975496292114258,24.901,0.96,99,4,23,0.66,895,0.007328889798372984,0.0024591833353042603,0.02349296770989895,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.4874,0.2804,0.02010,49.76,15,594879,nan,GUIDED,?,0,0.1401844024658203,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.336754289094314,6.509318063826474,10.024934177820066,0,0,-3.3335421085357666,-6.522591590881348,-0.02497023344039917,0.0017306800000369549,0.007663474418222904,2.0816722098970786e-05,nan,nan,nan,-0.03117387741804123,-0.004573002457618713,-3.138369560241699,0.0002582247252576053,3135,3135,0.01916646957397461,24.901,0.96,99,4,23,0.66,895,0.007328889798372984,0.0024591833353042603,0.02349296770989895,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.5075,0.3005,0.02004,49.89,16,594898,nan,GUIDED,?,0,0.15024256706237793,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.3465924268276055,6.508226934197991,10.026046120584553,0,0,-3.3333232402801514,-6.5220947265625,-0.025475263595581055,0.0017313489224761724,0.008006573654711246,-0.00032958443625830114,nan,nan,nan,-0.031165091320872307,-0.004571238532662392,-3.1383771896362305,-0.00034189297002740204,3135,3135,0.01927471160888672,24.901,0.96,99,4,23,0.66,895,0.007328889798372984,0.0024591833353042603,0.02349296770989895,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.5276,0.3205,0.02009,49.76,17,594918,nan,GUIDED,?,0,0.1602383852005005,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.354673604290277,6.5064311035294065,10.027857190595016,0,0,-3.3322486877441406,-6.521100044250488,-0.026312053203582764,0.002216374035924673,0.008469116874039173,-0.0008920854888856411,nan,nan,nan,-0.031164269894361496,-0.00457904115319252,-3.138382911682129,-0.00026406196411699057,3135,3135,0.01920604705810547,24.901,0.96,99,4,23,0.66,895,0.007328889798372984,0.0024591833353042603,0.02349296770989895,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.5474,0.3404,0.01981,50.48,18,594939,nan,GUIDED,?,0,0.17020130157470703,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.362373000056842,6.504503063858813,10.029591029483429,0,0,-3.331240177154541,-6.520150661468506,-0.02709066867828369,0.0029409544076770544,0.009034144692122936,-0.0014435839839279652,nan,nan,nan,-0.03115009143948555,-0.0045750681310892105,-3.138362407684326,0.0006256222259253263,3135,3135,0.01897144317626953,24.901,0.96,99,4,23,0.66,895,0.007328889798372984,0.0024591833353042603,0.02349296770989895,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.5670,0.3603,0.01958,51.07,19,594958,nan,GUIDED,?,0,0.18016231060028076,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.37140123583161,6.503282680933218,10.03040137229682,0,0,-3.330728769302368,-6.519601345062256,-0.02747279405593872,0.0031842298340052366,0.009421585127711296,-0.0016908154357224703,nan,nan,nan,-0.03115246072411537,-0.0045677535235881805,-3.1383588314056396,0.00022041823831386864,3135,3135,0.018979787826538086,24.901,0.96,99,4,23,0.66,895,0.007328889798372984,0.0024591833353042603,0.02349296770989895,1500,1500,1102,1498,1897,1102,1897,1102
1783459430.5875,0.3804,0.02055,48.65,20,594979,nan,GUIDED,?,0,0.19018757343292236,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.379457863995197,6.501881705635725,10.031931911640404,0,0,-3.3298065662384033,-6.518716335296631,-0.02817326784133911,0.0037883874028921127,0.009719477966427803,-0.0021700540091842413,nan,nan,nan,-0.03115326166152954,-0.004564590752124786,-3.1383614540100098,-0.00018763098341878504,3135,3135,0.019578218460083008,24.901,0.96,99,4,23,0.66,895,0.007328889798372984,0.0024591833353042603,0.02349296770989895,1500,1500,1102,1498,1897,1102,1897,1102
