wall_time,cur_time,cur_loop_dt,cur_ctrl_freq,loop_count,fc_time_boot_ms,hb_age_s,sent_mode,echoed_mode,armed,drone_px_ref,drone_py_ref,drone_pz_ref,drone_vx_ref,drone_vy_ref,drone_vz_ref,payload_px_ref,payload_py_ref,payload_pz_ref,payload_vx_ref,payload_vy_ref,payload_vz_ref,payload_alpha_x,payload_alpha_y,payload_alphadot_x,payload_alphadot_y,ux,uy,uz,yaw_ref,yaw_rate_ref,drone_px_meas,drone_py_meas,drone_pz_meas,drone_vx_meas,drone_vy_meas,drone_vz_meas,drone_ax_meas,drone_ay_meas,drone_az_meas,drone_roll,drone_pitch,drone_yaw,drone_yaw_rate,sent_setpoint_bitmask,echoed_setpoint_bitmask,setpoint_bitmask_callback_dt,batt_voltage,batt_current,batt_rem_percent,GPS_fix_type,sat_count,HDOP,ekf_flags,ekf_pos_horiz_var,ekf_pos_vert_var,ekf_vel_var,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1783462076.3244,0.0000,nan,nan,1,3240621,nan,AUTOTUNE,?,0,1.0728836059570312e-06,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.458406427799987,2.0606672862461464,10.546298116914132,0,0,-6.567474842071533,-2.143798828125,-0.5369073748588562,-0.014378971420228481,0.04799601808190346,-0.005421747453510761,nan,nan,nan,-0.02977644093334675,-0.0060186199843883514,-3.136979579925537,-0.00042695135925896466,3135,,nan,24.424,3.21,93,4,23,0.66,895,0.009830878116190434,0.008634745143353939,0.0056725479662418365,1500,1500,1418,1498,1897,1500,1897,1115
1783462076.3444,0.0202,0.02007,49.83,2,3240641,nan,AUTOTUNE,?,0,0.010078787803649902,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.466267811596673,2.063568900950668,10.547524587060066,0,0,-6.566880226135254,-2.1439239978790283,-0.5379025340080261,-0.013442673720419407,0.04639303684234619,-0.005555294919759035,nan,nan,nan,-0.029801614582538605,-0.006042152643203735,-3.1369879245758057,-0.0005867573781870306,3135,,nan,24.424,3.21,93,4,23,0.66,895,0.009830878116190434,0.008634745143353939,0.0056725479662418365,1500,1500,1418,1498,1897,1500,1897,1115
1783462076.3644,0.0401,0.01992,50.19,3,3240661,nan,AUTOTUNE,?,0,0.020041823387145996,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.477423638150658,2.065278144203588,10.548783876632173,0,0,-6.566751480102539,-2.1435022354125977,-0.5384101271629333,-0.014205663464963436,0.04516270011663437,-0.005989287048578262,nan,nan,nan,-0.029812367632985115,-0.006067089736461639,-3.1369948387145996,-0.00022929260740056634,3135,,nan,24.424,3.21,93,4,23,0.66,895,0.009830878116190434,0.008634745143353939,0.0056725479662418365,1500,1500,1418,1498,1897,1500,1897,1115
1783462076.3853,0.0605,0.02092,47.81,4,3240681,nan,AUTOTUNE,?,0,0.030225276947021484,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.488549565313092,2.06664092919682,10.550215761962683,0,0,-6.566218852996826,-2.143568754196167,-0.5392531752586365,-0.01505731325596571,0.044414300471544266,-0.0063292523846030235,nan,nan,nan,-0.02981398068368435,-0.006090227514505386,-3.1369869709014893,0.0003600140626076609,3135,,nan,24.424,3.21,93,4,23,0.66,895,0.009830878116190434,0.008634745143353939,0.0056725479662418365,1500,1500,1418,1498,1897,1500,1897,1115
1783462076.4052,0.0804,0.01987,50.32,5,3240701,nan,AUTOTUNE,?,0,0.04022061824798584,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.497376756475296,2.0670271969030134,10.551149162884826,0,0,-6.565729141235352,-2.1435770988464355,-0.5400373339653015,-0.014665616676211357,0.04419610649347305,-0.006415417417883873,nan,nan,nan,-0.02982342429459095,-0.006112795323133469,-3.1369729042053223,0.0005051543703302741,3135,,nan,24.424,3.21,93,4,23,0.66,895,0.009830878116190434,0.008634745143353939,0.0056725479662418365,1500,1500,1418,1498,1897,1500,1897,1115
1783462076.4253,0.1004,0.02019,49.53,6,3240721,nan,AUTOTUNE,?,0,0.05018937587738037,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.506213549809229,2.0669305979867474,10.552211766601298,0,0,-6.565627098083496,-2.143134832382202,-0.5404728055000305,-0.014070991426706314,0.04399653524160385,-0.006777492351830006,nan,nan,nan,-0.029840297996997833,-0.006121695041656494,-3.1369707584381104,-0.00010471571295056492,3135,,nan,24.424,3.21,93,4,23,0.66,895,0.009830878116190434,0.008634745143353939,0.0056725479662418365,1500,1500,1418,1498,1897,1500,1897,1115
1783462076.4455,0.1205,0.02011,49.72,7,3240741,nan,AUTOTUNE,?,0,0.06024312973022461,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.514087839922999,2.067085709114554,10.55306188302004,0,0,-6.565177917480469,-2.143090009689331,-0.5410774350166321,-0.01307201199233532,0.04388110339641571,-0.006919224280864,nan,nan,nan,-0.02986070141196251,-0.006126420572400093,-3.1369810104370117,-0.0006155738374218345,3135,,nan,24.424,3.21,93,4,23,0.66,895,0.009830878116190434,0.008634745143353939,0.0056725479662418365,1500,1500,1418,1498,1897,1500,1897,1115
1783462076.4653,0.1404,0.01988,50.29,8,3240761,nan,AUTOTUNE,?,0,0.07020270824432373,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.5222628860981855,2.0670559355418634,10.553228831965743,0,0,-6.5650858879089355,-2.142634868621826,-0.5413841605186462,-0.012094845063984394,0.04363551735877991,-0.0068385242484509945,nan,nan,nan,-0.02990596927702427,-0.0061291977763175964,-3.1369874477386475,-0.000736794900149107,3135,,nan,24.424,3.21,93,4,23,0.66,895,0.009830878116190434,0.008634745143353939,0.0056725479662418365,1500,1500,1418,1498,1897,1500,1897,1115
1783462076.4853,0.1604,0.01997,50.08,9,3240781,nan,AUTOTUNE,?,0,0.08018696308135986,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.529915593240386,2.0693867150424192,10.554266795212433,0,0,-6.5646843910217285,-2.142547369003296,-0.5418415665626526,-0.010980529710650444,0.04223932325839996,-0.0071737091057002544,nan,nan,nan,-0.02991766482591629,-0.006125623360276222,-3.136984348297119,0.00021857532556168735,3135,,nan,24.424,3.21,93,4,23,0.66,895,0.009830878116190434,0.008634745143353939,0.0056725479662418365,1500,1500,1418,1498,1897,1500,1897,1115
1783462076.5055,0.1805,0.02014,49.65,10,3240801,nan,AUTOTUNE,?,0,0.09023821353912354,0.0,10.0,0.5,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.539727861588748,2.071374031530572,10.555212006427974,0,0,-6.564453601837158,-2.1424951553344727,-0.542468249797821,-0.010975799523293972,0.041061799973249435,-0.007357611320912838,nan,nan,nan,-0.0299077071249485,-0.0061294399201869965,-3.136981725692749,0.00021046197798568755,3135,,nan,24.424,3.21,93,4,23,0.66,895,0.009897459298372269,0.009928886778652668,0.013002405874431133,1500,1500,1418,1498,1897,1500,1897,1115
