wall_time,cur_time,cur_loop_dt,cur_ctrl_freq,loop_count,fc_time_boot_ms,hb_age_s,sent_mode,echoed_mode,armed,drone_px_ref,drone_py_ref,drone_pz_ref,drone_vx_ref,drone_vy_ref,drone_vz_ref,payload_px_ref,payload_py_ref,payload_pz_ref,payload_vx_ref,payload_vy_ref,payload_vz_ref,payload_alpha_x,payload_alpha_y,payload_alphadot_x,payload_alphadot_y,ux,uy,uz,yaw_ref,yaw_rate_ref,drone_px_meas,drone_py_meas,drone_pz_meas,drone_vx_meas,drone_vy_meas,drone_vz_meas,drone_ax_meas,drone_ay_meas,drone_az_meas,drone_gyrox_meas,drone_gyroy_meas,drone_gyroz_meas,drone_roll,drone_pitch,drone_yaw,drone_yaw_rate,sent_setpoint_bitmask,echoed_setpoint_bitmask,setpoint_bitmask_callback_dt,batt_voltage,batt_current,batt_rem_percent,GPS_fix_type,sat_count,HDOP,ekf_flags,ekf_pos_horiz_var,ekf_pos_vert_var,ekf_vel_var,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1784665929.4158,0.0000,nan,nan,1,654017,0.000,GUIDED,GUIDED,128,4.997481822967529,0.07880739867687225,14.635011672973633,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.01630015866857486,0.020038689151745177,-1.403409315603927,-0.14268262684345245,0,4.997481822967529,0.07880739867687225,14.635011672973633,0.009410900995135307,-0.011569342575967312,0.8102587461471558,0,0,-898,2,0,0,0.002862683031708002,0.0028380092699080706,-0.14268262684345245,2.206244971603155e-05,63,3576,nan,12.336,26.38,81,6,10,1.21,831,0.003102181712165475,0.003357094945386052,0.008897719904780388,1500,1500,1000,1500,1800,1000,1000,1800
1784665929.4359,0.0201,0.02008,49.81,2,654037,0.020,GUIDED,GUIDED,128,4.997481822967529,0.07880739867687225,14.635011672973633,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.016453312464550868,0.020203383077816498,-1.383937904778088,-0.14268262684345245,0,4.997522830963135,0.0787336528301239,14.650996208190918,0.009475648403167725,-0.011621851474046707,0.7897882461547852,0,0,-896,0,0,0,0.0028521509375423193,0.002843237714841962,-0.14268167316913605,1.3825774658471346e-05,63,3135,0.020015478134155273,12.336,26.38,81,6,10,1.21,831,0.003102181712165475,0.003357094945386052,0.008897719904780388,1500,1500,1000,1500,1800,1000,1000,1800
1784665929.4559,0.0401,0.02003,49.93,3,654057,0.040,GUIDED,GUIDED,128,4.997481822967529,0.07880739867687225,14.635011672973633,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.016320941645317315,0.020041796761302928,-1.3643312690467724,-0.14268262684345245,0,4.997437477111816,0.07879611104726791,14.666563987731934,0.009448503144085407,-0.011564619839191437,0.769480288028717,0,0,-897,0,0,0,0.0028374388348311186,0.002801844384521246,-0.1426805555820465,8.154223905876279e-06,63,3135,0.019947052001953125,12.336,26.38,81,6,10,1.21,831,0.003161340719088912,0.004495784640312195,0.008157079108059406,1500,1500,1000,1500,1800,1000,1000,1800
1784665929.4759,0.0601,0.01995,50.12,4,654077,0.060,GUIDED,GUIDED,128,4.997481822967529,0.07880739867687225,14.635011672973633,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.016244112673299463,0.019911425590803864,-1.343534253099839,-0.14268262684345245,0,4.997378826141357,0.07883128523826599,14.681644439697266,0.009438008069992065,-0.011509657837450504,0.7487664222717285,0,0,-895,-7,-9,0,0.0026602039579302073,0.0025932304561138153,-0.14267872273921967,4.443668876774609e-05,63,3135,0.019901752471923828,12.336,26.38,81,6,10,1.21,831,0.003161340719088912,0.004495784640312195,0.008157079108059406,1500,1500,1000,1500,1800,1000,1000,1800
1784665929.4961,0.0801,0.02024,49.40,5,654097,0.080,GUIDED,GUIDED,128,4.997481822967529,0.07880739867687225,14.635011672973633,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.01638534766492112,0.019992594861525076,-1.3209061068972392,-0.14268262684345245,0,4.997453212738037,0.07872474193572998,14.69631576538086,0.009476603008806705,-0.011495008133351803,0.7272315621376038,0,0,-891,-9,-11,0,0.002458638744428754,0.002350508701056242,-0.14267797768115997,7.286635809578001e-05,63,3135,0.019944190979003906,12.336,26.38,81,6,10,1.21,831,0.003161340719088912,0.004495784640312195,0.008157079108059406,1500,1500,1000,1500,1800,1000,1000,1800
1784665929.5159,0.1001,0.01979,50.54,6,654117,0.100,GUIDED,GUIDED,128,4.997481822967529,0.07880739867687225,14.635011672973633,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.016213637951043552,0.019803265492178243,-1.295888090815541,-0.14268262684345245,0,4.997429370880127,0.07872515171766281,14.71047306060791,0.009391231462359428,-0.011385935358703136,0.7046136856079102,0,0,-886,-11,-15,0,0.002210374688729644,0.0020252251997590065,-0.14267946779727936,0.00011376081965863705,63,3135,0.019725799560546875,12.336,26.38,81,6,10,1.21,831,0.003161340719088912,0.004495784640312195,0.008157079108059406,1500,1500,1000,1500,1800,1000,1000,1800
1784665929.5359,0.1201,0.01998,50.05,7,654137,0.120,GUIDED,GUIDED,128,4.997481822967529,0.07880739867687225,14.635011672973633,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.01620810248826493,0.01975693129772298,-1.2687436175364823,-0.14268262684345245,0,4.997519016265869,0.07860466092824936,14.724250793457031,0.009336278773844242,-0.011289618909358978,0.6809872388839722,0,0,-880,-14,-16,0,0.0019165119156241417,0.0016811436507850885,-0.14268194139003754,6.944438791833818e-05,63,3135,0.0199277400970459,12.336,26.38,81,6,10,1.21,831,0.003161340719088912,0.004495784640312195,0.008157079108059406,1500,1500,1000,1500,1800,1000,1000,1800
1784665929.5560,0.1401,0.02006,49.85,8,654157,0.140,GUIDED,GUIDED,128,4.997481822967529,0.07880739867687225,14.635011672973633,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.015900384738098735,0.019455280345024358,-1.2403396170028564,-0.14268262684345245,0,4.997523784637451,0.07857700437307358,14.737485885620117,0.00915586482733488,-0.011099493131041527,0.6569468975067139,0,0,-878,-13,-16,0,0.0016287395264953375,0.0013356017880141735,-0.14268401265144348,6.838334957137704e-05,63,3135,0.019977092742919922,12.336,26.38,81,6,10,1.21,831,0.003161340719088912,0.004495784640312195,0.008157079108059406,1500,1500,1000,1500,1800,1000,1000,1800
1784665929.5759,0.1601,0.01993,50.16,9,654177,0.160,GUIDED,GUIDED,128,4.997481822967529,0.07880739867687225,14.635011672973633,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.015557025775684907,0.01904103089977001,-1.2107732129641497,-0.14268262684345245,0,4.99754524230957,0.07853295654058456,14.750157356262207,0.008945237845182419,-0.010834895074367523,0.6325608491897583,0,0,-876,-14,-18,0,0.001321593183092773,0.0009460893925279379,-0.14268633723258972,5.540077108889818e-05,63,3135,0.019882917404174805,12.336,26.38,81,6,10,1.21,831,0.003161340719088912,0.004495784640312195,0.008157079108059406,1500,1500,1000,1500,1800,1000,1000,1800
1784665929.5959,0.1801,0.02003,49.92,10,654197,0.180,GUIDED,GUIDED,128,4.997481822967529,0.07880739867687225,14.635011672973633,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.015306274406064725,0.018737035477231875,-1.180871532776522,-0.14268262684345245,0,4.9976487159729,0.07839933782815933,14.762413024902344,0.008740725927054882,-0.01058223843574524,0.6082212924957275,0,0,-876,-14,-18,0,0.0010262451833114028,0.0005628728540614247,-0.14269112050533295,4.417038871906698e-05,63,3135,0.019968748092651367,12.336,26.38,81,6,10,1.21,831,0.003161340719088912,0.004495784640312195,0.008157079108059406,1500,1500,1000,1500,1800,1000,1000,1800
