wall_time,cur_time,cur_loop_dt,cur_ctrl_freq,loop_count,fc_time_boot_ms,hb_age_s,sent_mode,echoed_mode,armed,drone_px_ref,drone_py_ref,drone_pz_ref,drone_vx_ref,drone_vy_ref,drone_vz_ref,payload_px_ref,payload_py_ref,payload_pz_ref,payload_vx_ref,payload_vy_ref,payload_vz_ref,payload_alpha_x,payload_alpha_y,payload_alphadot_x,payload_alphadot_y,ux,uy,uz,yaw_ref,yaw_rate_ref,drone_px_meas,drone_py_meas,drone_pz_meas,drone_vx_meas,drone_vy_meas,drone_vz_meas,drone_ax_meas,drone_ay_meas,drone_az_meas,drone_gyrox_meas,drone_gyroy_meas,drone_gyroz_meas,drone_roll,drone_pitch,drone_yaw,drone_yaw_rate,sent_setpoint_bitmask,echoed_setpoint_bitmask,setpoint_bitmask_callback_dt,batt_voltage,batt_current,batt_rem_percent,GPS_fix_type,sat_count,HDOP,ekf_flags,ekf_pos_horiz_var,ekf_pos_vert_var,ekf_vel_var,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1784658578.5171,0.0000,nan,nan,1,94522,nan,GUIDED,?,0,5.037356853485107,0.08246792107820511,14.665932655334473,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0209036223712462,0.02144270248783685,0.0009714879865873645,-0.1273989975452423,0,5.0373053550720215,0.08250431716442108,14.665935516357422,0.012098444625735283,-0.012400963343679905,-0.0005625406629405916,0,0,-1000,0,0,1,0.0018870960921049118,0.0018125652568414807,-0.1273989975452423,0.0010542874224483967,63,3135,nan,12.312,28.76,91,6,10,1.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1784658578.5372,0.0201,0.02008,49.81,2,94540,nan,GUIDED,?,0,5.037356853485107,0.08246792107820511,14.665932655334473,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.02114144151556654,0.021666625537106715,0.0009297906665016719,-0.1273989975452423,0,5.037400245666504,0.08239886164665222,14.66593074798584,0.012180964462459087,-0.01246936060488224,-0.0005357136833481491,0,0,-1001,3,0,1,0.001921449089422822,0.0018149093957617879,-0.12739917635917664,0.0010563676478341222,63,3135,0.020017147064208984,12.312,28.76,91,6,10,1.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1784658578.5572,0.0401,0.02003,49.92,3,94560,nan,GUIDED,?,0,5.037356853485107,0.08246792107820511,14.665932655334473,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.021122080338699924,0.02165495695621231,0.001053186988062852,-0.1273989975452423,0,5.037388801574707,0.08239658176898956,14.665931701660156,0.012176393531262875,-0.01246130745857954,-0.0006075071869418025,0,0,-1000,-3,1,1,0.0018200499471276999,0.001797645352780819,-0.12739746272563934,0.001122610759921372,63,3135,0.019949913024902344,12.312,28.76,91,6,10,1.21,831,0.002793047809973359,0.00010832212137756869,0.0069108749739825726,nan,nan,nan,nan,nan,nan,nan,nan
1784658578.5772,0.0601,0.01995,50.12,4,94580,nan,GUIDED,?,0,5.037356853485107,0.08246792107820511,14.665932655334473,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.021114778645356977,0.021683976212564137,0.0012096035188382504,-0.1273989975452423,0,5.037402629852295,0.08236925303936005,14.665929794311523,0.012164194136857986,-0.012462283484637737,-0.0006967131048440933,0,0,-1000,-5,-6,1,0.0016784283798187971,0.0016388895455747843,-0.12739738821983337,0.001013472443446517,63,3135,0.01989579200744629,12.312,28.76,91,6,10,1.21,831,0.002793047809973359,0.00010832212137756869,0.0069108749739825726,nan,nan,nan,nan,nan,nan,nan,nan
1784658578.5975,0.0801,0.02029,49.30,5,94600,nan,GUIDED,?,0,5.037356853485107,0.08246792107820511,14.665932655334473,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.021287567120163994,0.02188734377468181,0.001027239948997719,-0.1273989975452423,0,5.037533760070801,0.08222459256649017,14.665924072265625,0.012188245542347431,-0.012496178038418293,-0.0005881218239665031,0,0,-1001,-10,-8,0,0.001440192456357181,0.0014456172939389944,-0.12740273773670197,0.0008524653967469931,63,3135,0.01994609832763672,12.312,28.76,91,6,10,1.21,831,0.002793047809973359,0.00010832212137756869,0.0069108749739825726,1500,1500,1000,1500,1800,1000,1000,1800
1784658578.6172,0.1001,0.01972,50.71,6,94620,nan,GUIDED,?,0,5.037356853485107,0.08246792107820511,14.665932655334473,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.02070533391680045,0.0213765401840176,0.0012112218204700575,-0.1273989975452423,0,5.037363052368164,0.08238554745912552,14.66592788696289,0.011950651183724403,-0.012294192798435688,-0.0006965462234802544,0,0,-1000,-12,-9,0,0.001166989328339696,0.0012150586117058992,-0.12741774320602417,0.0005717948079109192,63,3135,0.019660234451293945,12.312,28.76,91,6,10,1.21,831,0.002793047809973359,0.00010832212137756869,0.0069108749739825726,1500,1500,1000,1500,1800,1000,1000,1800
1784658578.6372,0.1201,0.01998,50.04,7,94640,nan,GUIDED,?,0,5.037356853485107,0.08246792107820511,14.665932655334473,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.020516403549203036,0.02124394904366923,0.0012437697173312222,-0.1273989975452423,0,5.037408351898193,0.08233180642127991,14.665921211242676,0.011815418489277363,-0.012186613865196705,-0.0007114835316315293,0,0,-1000,-11,-13,0,0.0009041938465088606,0.000924304302316159,-0.12743301689624786,0.0003762108972296119,63,3135,0.019934654235839844,12.312,28.76,91,6,10,1.21,831,0.002793047809973359,0.00010832212137756869,0.0069108749739825726,1500,1500,1000,1500,1800,1000,1000,1800
1784658578.6572,0.1401,0.02000,50.01,8,94660,nan,GUIDED,?,0,5.037356853485107,0.08246792107820511,14.665932655334473,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.019873188966501688,0.02066812223168429,0.001144984098834498,-0.1273989975452423,0,5.0372819900512695,0.08244779706001282,14.665921211242676,0.011517013423144817,-0.011921127326786518,-0.000654449628200382,0,0,-1001,-12,-12,0,0.0006140627665445209,0.0006468541105277836,-0.12745286524295807,4.9635564209893346e-05,63,3135,0.019946813583374023,12.312,28.76,91,6,10,1.21,831,0.002793047809973359,0.00010832212137756869,0.0069108749739825726,1500,1500,1000,1500,1800,1000,1000,1800
1784658578.6772,0.1601,0.02000,49.99,9,94680,nan,GUIDED,?,0,5.037356853485107,0.08246792107820511,14.665932655334473,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.019137916149319534,0.020068814779659442,0.0009964745403340295,-0.1273989975452423,0,5.037182331085205,0.08253630250692368,14.665924072265625,0.011150041595101357,-0.011626215651631355,-0.0005703594069927931,0,0,-1001,-11,-12,0,0.00037085716030560434,0.0003762773994822055,-0.1274750977754593,-0.00018992231343872845,63,3135,0.019952058792114258,12.312,28.76,91,6,10,1.21,831,0.002793047809973359,0.00010832212137756869,0.0069108749739825726,1500,1500,1000,1500,1800,1000,1000,1800
1784658578.6972,0.1801,0.02004,49.90,10,94700,nan,GUIDED,?,0,5.037356853485107,0.08246792107820511,14.665932655334473,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.018677004099785958,0.019777558374336028,0.0007629690669230844,-0.1273989975452423,0,5.03724479675293,0.08245901763439178,14.665921211242676,0.010847869329154491,-0.011413438245654106,-0.00043389314669184387,0,0,-1001,-12,-12,0,7.783972978359088e-05,0.00010257907706545666,-0.12750102579593658,-0.0002414983173366636,63,3135,0.019971370697021484,12.312,28.76,91,6,10,1.21,831,0.002793047809973359,0.00010832212137756869,0.0069108749739825726,1500,1500,1000,1500,1800,1000,1000,1800
1784658578.7173,0.2000,0.02003,49.92,11,94720,nan,GUIDED,?,0,5.037356853485107,0.08246792107820511,14.665932655334473,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.017848998359000022,0.01908881123094939,0.0005679109014569476,-0.1273989975452423,0,5.037163734436035,0.08251982927322388,14.665926933288574,0.010416621342301369,-0.011050899513065815,-0.0003245798870921135,0,0,-1001,-9,-11,0,-0.00012515786511357874,-0.00016214241622947156,-0.1275368481874466,-0.0004525618569459766,63,3135,0.01995372772216797,12.312,28.76,91,6,10,1.21,831,0.002793047809973359,0.00010832212137756869,0.0069108749739825726,1500,1500,1000,1500,1800,1000,1000,1800
