frame,wall_time,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
579,1786065118.2315,12.0921,245,-0.949042,2.314435,-0.624696,-0.052234,-0.121485,0.657829,0.670989,1029.23,541.28
580,1786065118.2499,12.1105,245,-0.948429,2.303694,-0.630144,-0.051841,-0.122395,0.656192,0.669519,1029.70,538.78
581,1786065118.2724,12.1330,245,-0.946857,2.294390,-0.636635,-0.051082,-0.123563,0.654445,0.667964,1030.93,535.72
582,1786065118.2950,12.1556,245,-0.948011,2.289115,-0.645425,-0.050460,-0.124412,0.653198,0.666852,1032.00,533.54
583,1786065118.3055,12.1661,245,-0.947164,2.283635,-0.655608,-0.049943,-0.124806,0.652156,0.665867,1032.89,532.35
584,1786065118.3377,12.1983,245,-0.947411,2.280154,-0.662514,-0.048330,-0.125466,0.651648,0.665374,1036.16,530.79
585,1786065118.3540,12.2146,245,-0.947187,2.278434,-0.673963,-0.047179,-0.126331,0.650139,0.663978,1038.33,528.50
586,1786065118.3763,12.2369,245,-0.947139,2.280633,-0.683349,-0.045543,-0.127755,0.649020,0.663040,1041.64,525.23
587,1786065118.3944,12.2549,245,-0.951755,2.280791,-0.692672,-0.043325,-0.128414,0.647025,0.661067,1045.98,523.13
588,1786065118.4128,12.2734,245,-0.956055,2.283970,-0.702051,-0.041387,-0.128505,0.646285,0.660236,1049.98,522.72
589,1786065118.4397,12.3003,245,-0.959534,2.288857,-0.715054,-0.040558,-0.129273,0.646151,0.660202,1051.79,521.22
590,1786065118.4582,12.3188,245,-0.959534,2.290887,-0.726154,-0.040055,-0.129867,0.645410,0.659563,1052.81,519.80
591,1786065118.4772,12.3378,245,-0.961202,2.292465,-0.740674,-0.039650,-0.130383,0.644425,0.658677,1053.60,518.46
592,1786065118.4971,12.3577,245,-0.961071,2.295172,-0.752322,-0.038606,-0.131029,0.643088,0.657435,1055.67,516.68
593,1786065118.5296,12.3902,245,-0.962605,2.303793,-0.764916,-0.037395,-0.132756,0.641983,0.656631,1058.22,512.85
594,1786065118.5407,12.4013,245,-0.964533,2.309879,-0.772290,-0.035647,-0.134785,0.640359,0.655361,1061.80,508.09
595,1786065118.5575,12.4181,245,-0.972226,2.316871,-0.783889,-0.034519,-0.136571,0.638372,0.653729,1064.06,503.73
596,1786065118.5792,12.4398,245,-0.980038,2.321133,-0.795542,-0.033425,-0.138238,0.635995,0.651703,1066.19,499.40
597,1786065118.6026,12.4632,245,-0.995535,2.326400,-0.809872,-0.033019,-0.139279,0.633986,0.649944,1066.94,496.55
598,1786065118.6246,12.4852,245,-1.009092,2.329817,-0.832874,-0.032756,-0.138947,0.630230,0.646196,1067.15,495.80
599,1786065118.6426,12.5032,245,-1.031661,2.334701,-0.857411,-0.030040,-0.140023,0.627380,0.643518,1072.82,492.46
600,1786065118.6639,12.5244,245,-1.059304,2.337308,-0.867403,-0.027944,-0.141966,0.626159,0.642659,1077.33,487.95
601,1786065118.6832,12.5438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
602,1786065118.7042,12.5648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
603,1786065118.7231,12.5837,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
604,1786065118.7443,12.6049,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
605,1786065118.7642,12.6248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
606,1786065118.7930,12.6536,245,-1.128867,2.321460,-1.006646,-0.033533,-0.174288,0.604688,0.630197,1064.23,409.73
607,1786065118.8032,12.6637,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
