wall_time,fc_time_boot_ms,severity,text
1783460279.2778,1443631,6,AutoTune: Roll Rate D Up 0%
1783460281.0177,1445371,0,Potential Thrust Loss (2)
1783460281.2774,1445631,6,AutoTune: Roll Rate D Up 0%
1783460283.2776,1447631,6,AutoTune: Roll Rate D Up 0%
1783460285.2778,1449631,6,AutoTune: Roll Rate D Up 0%
